enhanced_incident_province,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,Total
Total,3517,4345,4018,3385,2689,1874,373,20201
浙江省,439,425,369,264,213,159,36,1905
江苏省,227,274,279,276,217,147,16,1436
山东省,262,288,291,204,139,97,15,1296
湖南省,173,206,182,222,168,93,29,1073
河北省,222,221,151,128,109,90,17,938
四川省,100,161,192,200,129,103,17,902
黑龙江省,128,207,181,169,129,63,14,891
广东省,188,225,164,139,97,67,9,889
广西壮族自治区,185,149,123,125,129,91,19,821
福建省,123,165,182,132,88,96,22,808
辽宁省,132,162,164,124,113,76,19,790
湖北省,126,187,154,130,109,57,10,773
云南省,133,183,162,111,83,61,9,742
河南省,121,175,155,135,87,58,11,742
北京市,131,170,148,94,90,69,13,715
安徽省,123,137,144,111,81,42,10,648
吉林省,77,106,131,99,99,64,20,596
重庆市,67,122,114,98,83,56,13,553
山西省,83,104,101,95,74,45,9,511
江西省,58,106,132,88,69,39,15,507
内蒙古自治区,66,88,81,80,54,57,10,436
贵州省,62,85,71,63,54,43,13,391
陕西省,64,89,60,66,50,39,3,371
甘肃省,32,56,71,62,62,36,8,327
上海市,65,73,54,38,49,31,2,312
天津市,39,70,92,36,36,27,7,307
新疆维吾尔自治区,17,33,20,36,20,9,1,136
青海省,24,26,20,23,15,21,3,132
宁夏回族自治区,13,30,14,19,22,25,2,125
海南省,35,20,9,13,15,8,1,101
西藏自治区,2,2,7,4,5,4,0,24
香港特别行政区,0,0,0,1,1,1,0,3
